"TABLE1","COLUMN1","TABLE2","COLUMN2"
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,MT_T_DIGITAL_CERTIFICATE,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,MT_T_D_CORP_MEMBER_PERMISSION,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,MT_T_EXAM_FRAUD_LIST,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,MT_T_EXAM_LOCATION,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,MT_T_LICENSE_TYPE_CORP,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,MT_T_CORP_MEMBER_LICENSE_TYPE,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,IIQE_T_C_EXAM_REQ,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,LOG_T_C_ROUND_MOVE_HISTORY,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,MT_T_CORP_MEMBER_PERMISSION,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,MT_T_CORP_OFFICER,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,MT_T_DATA_CORP,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,MT_T_CORP_ATTACHMENT,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,LOG_T_BLOCKLIST_LOG,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,LOG_T_OTP_LOG,CORP_MEMBER_ID
MT_T_CROP_PERMISSION,CORP_MEMBER_ID,MT_T_CORP_MEMBER_EMAIL,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,MT_T_CORP_MEMBER_PERMISSION,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,MT_T_CORP_MEMBER_LICENSE_TYPE,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,MT_T_CROP_PERMISSION,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,MT_T_EXAM_LOCATION,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,IIQE_T_C_EXAM_REQ,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,LOG_T_C_ROUND_MOVE_HISTORY,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,LOG_T_OTP_LOG,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,MT_T_DIGITAL_CERTIFICATE,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,LOG_T_BLOCKLIST_LOG,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,MT_T_LICENSE_TYPE_CORP,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,MT_T_EXAM_FRAUD_LIST,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,MT_T_CORP_MEMBER_EMAIL,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,MT_T_D_CORP_MEMBER_PERMISSION,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,MT_T_CORP_ATTACHMENT,CORP_MEMBER_ID
MT_T_DATA_CORP,CORP_MEMBER_ID,MT_T_CORP_OFFICER,CORP_MEMBER_ID
MT_T_DIGITAL_CERTIFICATE,CORP_MEMBER_ID,IIQE_T_C_EXAM_REQ,CORP_MEMBER_ID
MT_T_DIGITAL_CERTIFICATE,CORP_MEMBER_ID,MT_T_CORP_MEMBER_LICENSE_TYPE,CORP_MEMBER_ID
MT_T_DIGITAL_CERTIFICATE,CORP_MEMBER_ID,MT_T_CORP_MEMBER_EMAIL,CORP_MEMBER_ID
MT_T_DIGITAL_CERTIFICATE,CORP_MEMBER_ID,MT_T_LICENSE_TYPE_CORP,CORP_MEMBER_ID
MT_T_DIGITAL_CERTIFICATE,CORP_MEMBER_ID,MT_T_EXAM_LOCATION,CORP_MEMBER_ID
MT_T_DIGITAL_CERTIFICATE,CORP_MEMBER_ID,MT_T_EXAM_FRAUD_LIST,CORP_MEMBER_ID
MT_T_DIGITAL_CERTIFICATE,CORP_MEMBER_ID,MT_T_D_CORP_MEMBER_PERMISSION,CORP_MEMBER_ID
MT_T_DIGITAL_CERTIFICATE,CORP_MEMBER_ID,MT_T_CORP_MEMBER_PERMISSION,CORP_MEMBER_ID
MT_T_DIGITAL_CERTIFICATE,CORP_MEMBER_ID,LOG_T_OTP_LOG,CORP_MEMBER_ID
